,TIME,MARKET,DIRECTION,pl,ENTRYPRICE
0,2022-04-27 20:58:04.734001,SOL-PERP,Long,-$0.68,$97.7742
1,2022-04-27 20:58:10.920652,SOL-PERP,Long,-$0.71,$97.7734
2,2022-04-27 20:59:25.602603,SOL-PERP,Long,-$0.59,$97.7764
3,2022-04-27 20:59:35.894922,SOL-PERP,Long,-$0.62,$97.7756
4,2022-04-27 20:59:48.418689,SOL-PERP,Long,-$0.29,$97.7940
5,2022-04-27 21:00:00.896516,SOL-PERP,Long,$0.22,$97.8028
6,2022-04-27 21:00:05.017590,SOL-PERP,Long,$0.44,$97.8062
7,2022-04-27 21:00:15.449265,SOL-PERP,Long,$2.47,$97.8368
8,2022-04-27 21:00:21.662625,SOL-PERP,Long,$5.29,$97.8794
9,2022-04-27 21:00:27.861156,SOL-PERP,Long,$5.76,$97.8865
10,2022-04-27 21:00:31.990239,SOL-PERP,Long,$5.76,$97.8864
11,2022-04-27 21:00:40.419807,SOL-PERP,Long,$5.76,$97.8925
12,2022-04-27 21:00:44.516000,SOL-PERP,Long,$6.34,$97.8996
13,2022-04-27 21:00:48.630022,SOL-PERP,Long,$6.33,$97.8995
14,2022-04-27 21:00:52.759703,SOL-PERP,Long,$6.33,$97.9059
15,2022-04-27 21:01:09.739592,SOL-PERP,Long,$6.70,$97.9097
16,2022-04-27 21:01:20.401578,SOL-PERP,Long,$6.71,$97.9097
17,2022-04-27 21:01:26.567446,SOL-PERP,Long,$6.71,$97.9169
18,2022-04-27 21:01:32.773014,SOL-PERP,Long,$6.71,$97.9335
19,2022-04-27 21:01:36.901168,SOL-PERP,Long,$6.70,$97.9335
20,2022-04-27 21:02:14.025250,SOL-PERP,Long,$13.19,$97.9745
21,2022-04-27 21:02:20.219869,SOL-PERP,Long,$13.63,$97.9773
22,2022-04-27 21:02:24.349040,SOL-PERP,Long,$13.63,$98.0018
23,2022-04-27 21:02:32.680332,SOL-PERP,Long,$14.50,$98.0057
24,2022-04-27 21:02:53.698499,SOL-PERP,Long,$16.18,$98.0150
25,2022-04-27 21:02:57.825671,SOL-PERP,Long,$18.84,$98.0268
26,2022-04-27 21:03:12.320934,SOL-PERP,Long,$19.73,$98.0307
27,2022-04-27 21:03:16.544106,SOL-PERP,Long,$21.35,$98.0379
28,2022-04-27 21:03:22.738696,SOL-PERP,Long,$38.98,$98.1163
29,2022-04-27 21:03:30.981869,SOL-PERP,Long,$39.88,$98.1203
30,2022-04-27 21:03:35.130076,SOL-PERP,Long,$46.23,$98.1485
31,2022-04-27 21:03:39.351740,SOL-PERP,Long,$46.23,$98.1607
32,2022-04-27 21:03:47.627910,SOL-PERP,Long,$46.23,$98.1619
33,2022-04-27 21:04:06.205556,SOL-PERP,Long,$46.75,$98.2249
34,2022-04-27 21:05:02.133302,SOL-PERP,Long,$99.39,$98.3523
35,2022-04-27 21:06:06.051707,SOL-PERP,Long,$115.65,$98.3916
36,2022-04-27 21:07:05.860724,SOL-PERP,Long,$94.24,$98.3398
37,2022-04-27 21:07:09.994407,SOL-PERP,Long,$93.03,$98.3369
38,2022-04-27 21:07:14.124648,SOL-PERP,Long,$78.08,$98.3007
39,2022-04-27 21:08:05.687495,SOL-PERP,Long,$67.65,$98.2801
40,2022-04-27 21:10:05.319916,SOL-PERP,Long,$49.86,$98.2359
41,2022-04-27 21:11:05.176995,SOL-PERP,Long,$5.33,$98.1286
42,2022-04-27 21:12:05.113359,SOL-PERP,Long,$13.87,$98.1719
43,2022-04-27 21:12:09.431495,SOL-PERP,Long,$32.31,$98.2231
44,2022-04-27 21:12:13.644416,SOL-PERP,Long,$34.01,$98.2278
45,2022-04-27 21:13:05.254307,SOL-PERP,Long,$39.24,$98.2423
46,2022-04-27 21:14:05.273414,SOL-PERP,Long,$61.33,$98.3050
47,2022-04-27 21:15:05.381290,SOL-PERP,Long,$61.33,$98.2980
48,2022-04-27 21:15:09.498976,SOL-PERP,Long,$58.76,$98.2980
49,2022-04-27 21:16:06.915750,SOL-PERP,Long,$26.63,$98.2166
50,2022-04-27 21:18:06.207521,SOL-PERP,Long,$26.65,$98.2166
51,2022-04-27 21:19:05.913252,SOL-PERP,Long,$11.91,$98.1724
52,2022-04-27 21:22:11.790473,SOL-PERP,Long,$18.90,$98.1979
53,2022-04-27 21:23:09.535371,SOL-PERP,Long,$12.32,$98.1788
54,2022-04-27 21:23:34.294774,SOL-PERP,Long,$5.80,$98.1600
